"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5914","Открытие формы обработки ""Автоматическое извлечение текстов"" (АвтоматическоеИзвлечениеТекстов)","","Thu Feb 20 15:32:32 MSK 2025","passed","Thu Feb 20 15:32:38 MSK 2025","","","",""
"","1544","Печать элемента документа ""Упаковочный лист"" (УпаковочныйЛист)","","Thu Feb 20 15:29:22 MSK 2025","passed","Thu Feb 20 15:29:23 MSK 2025","","","",""
"","31927","Печать элемента документа ""Коммерческое предложение клиенту"" (КоммерческоеПредложениеКлиенту)","","Thu Feb 20 15:14:16 MSK 2025","passed","Thu Feb 20 15:14:48 MSK 2025","","","",""
"","1553","Печать элемента документа ""Счет-фактура на неподтвержденную реализацию по ставке 0%"" (СчетФактураНаНеподтвержденнуюРеализацию0)","","Thu Feb 20 15:29:07 MSK 2025","passed","Thu Feb 20 15:29:08 MSK 2025","","","",""
"","2585","Открытие формы документа ""Счет-фактура выданный (аванс)"" (СчетФактураВыданныйАванс)","","Thu Feb 20 15:04:58 MSK 2025","passed","Thu Feb 20 15:05:01 MSK 2025","","","",""
"","2730","Открытие формы списка справочника ""Условия предоставления скидок (наценок)"" (УсловияПредоставленияСкидокНаценок)","","Thu Feb 20 14:47:35 MSK 2025","passed","Thu Feb 20 14:47:38 MSK 2025","","","",""
"","1826","Открытие формы обработки ""Первоначальное заполнение регистров партионного учета"" (ПервоначальноеЗаполнениеРегистровПартионногоУчета)","","Thu Feb 20 15:34:40 MSK 2025","passed","Thu Feb 20 15:34:42 MSK 2025","","","",""
"","2552","Открытие формы списка справочника ""Настройки формирования перемещений"" (НастройкиФормированияПеремещений)","","Thu Feb 20 14:49:05 MSK 2025","passed","Thu Feb 20 14:49:07 MSK 2025","","","",""
"","1533","Печать элемента документа ""Задание на перевозку"" (ЗаданиеНаПеревозку)","","Thu Feb 20 15:10:59 MSK 2025","passed","Thu Feb 20 15:11:00 MSK 2025","","","",""
"","2517","Открытие формы списка регистра сведений ""Остатки продукции ВетИС"" (ОстаткиПродукцииВЕТИС)","","Thu Feb 20 15:39:18 MSK 2025","passed","Thu Feb 20 15:39:21 MSK 2025","","","",""
"","2767","Открытие формы списка справочника ""Банковские счета организаций"" (БанковскиеСчетаОрганизаций)","","Thu Feb 20 14:39:09 MSK 2025","passed","Thu Feb 20 14:39:12 MSK 2025","","","",""
"","1994","Открытие формы списка документа ""Пакет прямого обмена с банками"" (ПакетОбменСБанками)","","Thu Feb 20 14:55:08 MSK 2025","passed","Thu Feb 20 14:55:10 MSK 2025","","","",""
"","1421","Открытие формы регистра сведений ""Версии подсистем"" (ВерсииПодсистем)","","Thu Feb 20 15:43:33 MSK 2025","passed","Thu Feb 20 15:43:34 MSK 2025","","","",""
